 variables = "x", "y", "z", "rhoi", "vxi", "vyi", "vzi", "pi", "tracei", "rhoe",
  "vxe", "vye",   "vze", "pe", "tracee", "bx", "by", "bz", "ex", "ey", "ez", "co
 rpotB", "corpotE", "rhoiRe", "rhoiIm", "mxiRe", "mxiIm", "myiRe", "myiIm", "mzi
 Re", "mziIm", "ergiRe", "ergiIm", "rhoeRe", "rhoeIm", "mxeRe", "mxeIm", "myeRe"
 , "myeIm", "mzeRe", "mzeIm", "ergeRe", "ergeIm", "bxRe", "bxIm", "byRe" "byIm",
  "bzRe", "bzIm", "exRe", "exIm", "eyRe", "eyIm", "ezRe", "ezIm"
 zone i =         4000  j =            1  k =            1  f = point
 -.999750E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999987E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999987E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.110698E-0046 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.442875E-0008 -.442875E-0008 0.492873E-0009 0.492873E-0009 0.975117E-0009 -.975117E-0009 0.103427E-0010 -.103427E-0010 0.149989E-0008 0.149989E-0008 -.453944E-0010 -.453944E-0010 0.385478E-0011 0.385478E-0011 0.762829E-0011 -.762829E-0011 -.785134E-0011 0.785134E-0011 0.961318E-0009 0.961318E-0009 0.126659E-0010 0.126659E-0010 -.123956E-0026 0.123956E-0026 0.170897E-0011 -.170897E-0011 0.324294E-0013 0.324294E-0013 0.176165E-0009 -.176165E-0009 0.263614E-0012 -.263614E-0012
 -.999250E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999963E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999963E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.293428E-0031 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.391933E-0007 -.391933E-0007 0.428668E-0008 0.428668E-0008 0.865153E-0008 -.865153E-0008 0.106830E-0009 -.106830E-0009 0.130493E-0007 0.130493E-0007 -.400749E-0009 -.400749E-0009 0.306670E-0010 0.306670E-0010 0.676427E-0010 -.676427E-0010 -.852289E-0010 0.852289E-0010 0.862523E-0008 0.862523E-0008 0.137397E-0009 0.137397E-0009 -.893425E-0013 0.893425E-0013 0.194231E-0010 -.194231E-0010 -.228980E-0012 -.228980E-0012 0.159076E-0008 -.159076E-0008 0.233846E-0011 -.233846E-0011
 -.998750E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999938E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999938E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.303134E-0029 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.107538E-0006 -.107538E-0006 0.118012E-0007 0.118012E-0007 0.237026E-0007 -.237026E-0007 0.324409E-0009 -.324409E-0009 0.359393E-0007 0.359393E-0007 -.110037E-0008 -.110037E-0008 0.112966E-0009 0.112966E-0009 0.185195E-0009 -.185195E-0009 -.263922E-0009 0.263922E-0009 0.235835E-0007 0.235835E-0007 0.425348E-0009 0.425348E-0009 -.436758E-0012 0.436758E-0012 0.807244E-0011 -.807244E-0011 -.178741E-0011 -.178741E-0011 0.436166E-0008 -.436166E-0008 0.640345E-0011 -.640345E-0011
 -.998250E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999914E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999914E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.104965E-0027 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.208095E-0006 -.208095E-0006 0.228279E-0007 0.228279E-0007 0.458209E-0007 -.458209E-0007 0.689159E-0009 -.689159E-0009 0.695413E-0007 0.695413E-0007 -.212958E-0008 -.212958E-0008 0.239870E-0009 0.239870E-0009 0.357811E-0009 -.357811E-0009 -.573050E-0009 0.573050E-0009 0.455969E-0007 0.455969E-0007 0.923283E-0009 0.923283E-0009 -.127252E-0011 0.127252E-0011 -.183293E-0010 0.183293E-0010 -.559636E-0011 -.559636E-0011 0.846619E-0008 -.846619E-0008 0.123760E-0010 -.123760E-0010
 -.997750E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999891E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999891E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.185727E-0026 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.339705E-0006 -.339705E-0006 0.372460E-0007 0.372460E-0007 0.747206E-0007 -.747206E-0007 0.122267E-0008 -.122267E-0008 0.113496E-0006 0.113496E-0006 -.347673E-0008 -.347673E-0008 0.424077E-0009 0.424077E-0009 0.583126E-0009 -.583126E-0009 -.103729E-0008 0.103729E-0008 0.743820E-0007 0.743820E-0007 0.167082E-0008 0.167082E-0008 -.287947E-0011 0.287947E-0011 -.818955E-0010 0.818955E-0010 -.125541E-0010 -.125541E-0010 0.138653E-0007 -.138653E-0007 0.201770E-0010 -.201770E-0010
 -.997250E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999867E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999867E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.205866E-0025 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.501208E-0006 -.501208E-0006 0.549280E-0007 0.549280E-0007 0.110125E-0006 -.110125E-0006 0.194528E-0008 -.194528E-0008 0.167421E-0006 0.167421E-0006 -.513010E-0008 -.513010E-0008 0.678140E-0009 0.678140E-0009 0.858844E-0009 -.858844E-0009 -.168027E-0008 0.168027E-0008 0.109666E-0006 0.109666E-0006 0.270589E-0008 0.270589E-0008 -.559321E-0011 0.559321E-0011 -.204619E-0009 0.204619E-0009 -.235194E-0010 -.235194E-0010 0.205219E-0007 -.205219E-0007 0.297300E-0010 -.297300E-0010
 -.996750E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999844E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999844E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.161834E-0024 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.691489E-0006 -.691489E-0006 0.757469E-0007 0.757469E-0007 0.151772E-0006 -.151772E-0006 0.287559E-0008 -.287559E-0008 0.230937E-0006 0.230937E-0006 -.707837E-0008 -.707837E-0008 0.101482E-0008 0.101482E-0008 0.118278E-0008 -.118278E-0008 -.252503E-0008 0.252503E-0008 0.151192E-0006 0.151192E-0006 0.406546E-0008 0.406546E-0008 -.979975E-0011 0.979975E-0011 -.408829E-0009 0.408829E-0009 -.392941E-0010 -.392941E-0010 0.284012E-0007 -.284012E-0007 0.409631E-0010 -.409631E-0010
 -.996250E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999821E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999821E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.978785E-0024 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.909474E-0006 -.909474E-0006 0.995811E-0007 0.995811E-0007 0.199407E-0006 -.199407E-0006 0.403053E-0008 -.403053E-0008 0.303679E-0006 0.303679E-0006 -.931064E-0008 -.931064E-0008 0.144775E-0008 0.144775E-0008 0.155275E-0008 -.155275E-0008 -.359399E-0008 0.359399E-0008 0.198714E-0006 0.198714E-0006 0.578550E-0008 0.578550E-0008 -.159360E-0010 0.159360E-0010 -.718118E-0009 0.718118E-0009 -.606405E-0010 -.606405E-0010 0.374695E-0007 -.374695E-0007 0.538051E-0010 -.538051E-0010
 -.995750E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999798E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999798E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.481278E-0023 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.115413E-0005 -.115413E-0005 0.126312E-0006 0.126312E-0006 0.252786E-0006 -.252786E-0006 0.542542E-0008 -.542542E-0008 0.385290E-0006 0.385290E-0006 -.118164E-0007 -.118164E-0007 0.199161E-0008 0.199161E-0008 0.196666E-0008 -.196666E-0008 -.490909E-0008 0.490909E-0008 0.251994E-0006 0.251994E-0006 0.790117E-0008 0.790117E-0008 -.244889E-0010 0.244889E-0010 -.115773E-0008 0.115773E-0008 -.882943E-0010 -.882943E-0010 0.476946E-0007 -.476946E-0007 0.681876E-0010 -.681876E-0010
